id,title,description,availability,condition,price,link,image_link,brand,google_product_category,size
CKR-VES-008,Vestido Largo Lencero Champagne en Seda,Vestido Largo Lencero Champagne en Seda. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Largo%20Lencero%20Champagne%20%24380.000,https://lh3.googleusercontent.com/d/1iGlqZNuxFhkEx2PjaEPbobsAMwRvxu6L,CKR Boutique,2271,M-L
CKR-TOP-001,Blusa Estampada Floral Rosa,Blusa Estampada Floral Rosa. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Blusa%20Estampada%20Floral%20Rosa%20%24180.000,https://lh3.googleusercontent.com/d/1zFbbsHm78lymANlAh4E0V73blDJgAnUD,CKR Boutique,2271,S
CKR-TOP-002,Set de Pantalon y Blusa en lino europeo Palo de Rosa,Set de Pantalon y Blusa en lino europeo Palo de Rosa. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,480000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Pantalon%20Blusa%20lino%20Palo%20Rosa%20%24480.000,https://lh3.googleusercontent.com/d/1GEkkXepyze6sKfhW6dlEbeQdDDsGZtWc,CKR Boutique,2271,UNICA
CKR-TOP-003,Camisa Blanca en Ojalillo,Camisa Blanca en Ojalillo. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,150000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Camisa%20Blanca%20en%20Ojalillo%20%24150.000,https://lh3.googleusercontent.com/d/1Qg8rWBGHOx-S00zrRhT5Gvv2J5MUfPj7,CKR Boutique,2271,S
CKR-TOP-004,Pantalon de Pinzas y correa Rosa Pink,Pantalon de Pinzas y correa Rosa Pink. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalon%20de%20Pinzas%20Rosa%20Pink%20%24180.000,https://lh3.googleusercontent.com/d/1pKyhaKTdXdi-H1e-ih05Yw85BbVZLmAV,CKR Boutique,2271,L
CKR-TOP-005,Set de Pantalon y Blusa en lino Blanco Estampado,Set de Pantalon y Blusa en lino Blanco Estampado. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Pantalon%20Blusa%20lino%20Blanco%20%24380.000,https://drive.google.com/uc?export=view&id=1tOsBfpqpGjzFPtGEf9gu6XfBkqM1X7QS,CKR Boutique,2271,M
CKR-TOP-006,Conjunto Verde off-shoulder,Conjunto Verde off-shoulder. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20Verde%20off-shoulder%20%24320.000,https://lh3.googleusercontent.com/d/1LaTybcBKtHEd44NVocAApTPEHpde557G,CKR Boutique,2271,M
CKR-TOP-007,Set de Pantalon y Chaqueta Blanco en encaje Presly,Set de Pantalon y Chaqueta Blanco en encaje Presly. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,420000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Pantalon%20Chaqueta%20Blanco%20Presly%20%24420.000,https://drive.google.com/uc?export=view&id=1wIHwhb0-KXo-kW6uyfotPhDwROynZxj0,CKR Boutique,2271,UNICA
CKR-TOP-008,Set en Lino de Pantalon y Top Crudo lazo en ojalillo,Set en Lino de Pantalon y Top Crudo lazo en ojalillo. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Lino%20Pantalon%20Top%20Crudo%20%24280.000,https://drive.google.com/uc?export=view&id=1Vk_2PLPQ1N7Sp5B3PT-d9B6qdmFlqGx9,CKR Boutique,2271,L
CKR-TOP-009,Set en Lino de Short y Top Azul estampado Venao,Set en Lino de Short y Top Azul estampado Venao. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Lino%20Short%20Top%20Azul%20Venao%20%24280.000,https://drive.google.com/uc?export=view&id=1gonWQVBdImrM2PBUIBSoTs_ytKFXcBL_,CKR Boutique,2271,L
CKR-JEA-001,Jeans Azul oscuro tiro alto,Jeans Azul oscuro tiro alto. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20los%20Jeans%20Azul%20oscuro%20tiro%20alto%20%24220.000,https://lh3.googleusercontent.com/d/1Qg8rWBGHOx-S00zrRhT5Gvv2J5MUfPj7,CKR Boutique,2271,3-5
CKR-ACC-001,Bolso tote nude Kate Spade,Bolso tote nude Kate Spade. Accesorio premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,700000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Bolso%20tote%20nude%20Kate%20Spade%20%24700.000,https://lh3.googleusercontent.com/d/1-7Li_bySkyIPq-PvKT4V2fu1W4U1_ByX,CKR Boutique,2369,UNICA
CKR-ACC-002,Bolso Tommy Hilfiger,Bolso Tommy Hilfiger. Accesorio premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Bolso%20Tommy%20Hilfiger%20%24380.000,https://lh3.googleusercontent.com/d/14GEdD0Z7c1Yu5ob5xq-icVdRMva5YTI6,CKR Boutique,2369,UNICA
CKR-ACC-003,Reloj Armani Exchange,Reloj Armani Exchange. Accesorio premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,1000000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Reloj%20Armani%20Exchange%20%241.000.000,https://drive.google.com/uc?export=view&id=1HVzQMbL_-njotGqLAFYlrYNesv1Bws1Z,CKR Boutique,201,UNICA
CKR-ACC-004,Reloj Michael Kors negro,Reloj Michael Kors negro. Accesorio premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,1500000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Reloj%20Michael%20Kors%20negro%20%241.500.000,https://lh3.googleusercontent.com/d/1thuNXUfXpGEtCvf7_si5UgqNxEwuJprm,CKR Boutique,201,UNICA
CKR-ACC-005,Reloj Michael Kors dorado talko Rojo,Reloj Michael Kors dorado. Accesorio premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,1800000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Reloj%20Michael%20Kors%20dorado%20%241.800.000,https://lh3.googleusercontent.com/d/1yGkJLbkKaRzaqoh2bfUGnbQNtwjY2Pkz,CKR Boutique,201,UNICA
CKR-ACC-006,Interior Victoria Secret Gris,Interior Victoria Secret Gris. Moda íntima premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,90000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Interior%20Victoria%20Secret%20Gris%20%2490.000,https://drive.google.com/uc?export=view&id=1MOd8lA53LPX6mE7Ve5tp6njUzDStqSFg,CKR Boutique,2271,UNICA
CKR-BLU-001,Blusón Troquelado Geométrico Rosa Pink,Blusón Troquelado Geométrico Rosa Pink. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Troquelado%20Geométrico%20Rosa%20Pink%20%24180.000,https://drive.google.com/uc?export=view&id=1HaNh5jBf67rOCo8i9Zzh7ViHk20lFEZx,CKR Boutique,2271,L-XL
CKR-BLU-002,Blusón en Encaje Palo de Rosa,Blusón en Encaje Palo de Rosa. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20en%20Encaje%20Palo%20de%20Rosa%20%24180.000,https://drive.google.com/uc?export=view&id=1DYk6QDT9gactOTr_nKtTPYPl4b4U4481,CKR Boutique,2271,L-XL
CKR-BLU-003,Blusón Fucsia Troquelado Geométrico,Blusón Fucsia Troquelado Geométrico. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Fucsia%20Troquelado%20Geométrico%20%24180.000,https://drive.google.com/uc?export=view&id=1U2UPtZtC6AcHBiUZ2bndkRAETQsPatZr,CKR Boutique,2271,L-XL
CKR-PLS-001,Blusón en Seda Magenta Animal Print,Blusón en Seda Magenta Animal Print. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Seda%20Magenta%20Animal%20Print%20%24180.000,https://lh3.googleusercontent.com/d/1o4X-3l3dm0UEaTCT-mJWa8nYqwTKJLd4,CKR Boutique,2271,XL
CKR-PLS-002,Set de Falda y Top Amarillo Estampado Floral,Set de Falda y Top Amarillo Estampado Floral. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Falda%20Top%20Amarillo%20Floral%20%24320.000,https://lh3.googleusercontent.com/d/1ISL0m6n7O9XZgzilEWMS7j7TOuAWZCAu,CKR Boutique,2271,XL
CKR-PLS-003,Vestido Largo Blanco,Vestido Largo Blanco. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Largo%20Blanco%20%24320.000,https://lh3.googleusercontent.com/d/1M0iAjhJ18bHTyGXAVP2hBP6PyWIUKpco,CKR Boutique,2271,3XL
CKR-PLS-004,Blusón Negro,Blusón Negro. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,150000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Negro%20%24150.000,https://lh3.googleusercontent.com/d/1ayQkyU7gJTwFvOvLwV3Gl_k1W_9XBKcu,CKR Boutique,2271,Unica
CKR-PLS-005,Blusa en Arandelas Fucsia Estampada,Blusa en Arandelas Fucsia Estampada. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Blusa%20Arandelas%20Fucsia%20Estampada%20%24180.000,https://lh3.googleusercontent.com/d/1sSe-mGAhQvAoO4LNtL9htf9OIlXaLc7Y,CKR Boutique,2271,XL
CKR-PLS-006,Vestido en Lino Europeo Estampado Tie Dye,Vestido en Lino Europeo Estampado Tie Dye. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Lino%20Europeo%20Tie%20Dye%20%24380.000,https://lh3.googleusercontent.com/d/13-zKFETt2O-XrTaWAia7f2Sn1DOlvcKm,CKR Boutique,2271,Unica
CKR-PLS-007,Pantalón Fucsia,Pantalón Fucsia. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,150000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalón%20Fucsia%20%24150.000,https://lh3.googleusercontent.com/d/12I2bVRc86BGIaM_dGVmv88YptB6-5I99,CKR Boutique,2271,1XL
CKR-PLS-008,Set en Lino Europeo Café Moca Estampado,Set en Lino Europeo Café Moca Estampado. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,480000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Lino%20Café%20Moca%20%24480.000,https://lh3.googleusercontent.com/d/1DuQrkVMrY0Ng8StCUtG-xwIL30rkr6YG,CKR Boutique,2271,Unica
CKR-PLS-009,Blusón en Seda Estampado,Blusón en Seda Estampado. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Seda%20Estampado%20%24180.000,https://lh3.googleusercontent.com/d/1kgb-sL1kynTe24y5pSZH7boHL7U1aQMo,CKR Boutique,2271,1XL
CKR-PLS-010,Blusón Beige,Blusón Beige. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,130000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Beige%20%24130.000,https://lh3.googleusercontent.com/d/1o-Oo7202IpdB4i9LEIOMOitDbpVJsgFq,CKR Boutique,2271,Unica
CKR-PLS-011,Jeans Azul Alto Tiro,Jeans Azul Alto Tiro. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20los%20Jeans%20Azul%20Alto%20Tiro%20%24220.000,https://lh3.googleusercontent.com/d/1UuihqnIK0OJPfU4fP2aCwdk_9ONYab3p,CKR Boutique,2271,14
CKR-PLS-012,Pantalón en Lino Beige,Pantalón en Lino Beige. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalón%20Lino%20Beige%20%24180.000,https://lh3.googleusercontent.com/d/1-X_EBoDUY3-T95kyy79zrc-eUggwDF1T,CKR Boutique,2271,2XL-1XL
CKR-PLS-013,Set de Short y Camisa,Set de Short y Camisa. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20de%20Short%20y%20Camisa%20%24220.000,https://lh3.googleusercontent.com/d/1pCnzvyhG6ch8syHCseg-gYQeI7J_r3dr,CKR Boutique,2271,XL
CKR-PLS-014,Vestido Largo Terracota,Vestido Largo Terracota. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Largo%20Terracota%20%24380.000,https://lh3.googleusercontent.com/d/1bBu_0Fde-gOO9yv91eAhfmKh6ESNMSzb,CKR Boutique,2271,Unica
CKR-PLS-015,Pantalón Estampado Vichy Negro y Blanco,Pantalón Estampado Vichy Negro y Blanco. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalón%20Vichy%20Negro%20y%20Blanco%20%24280.000,https://lh3.googleusercontent.com/d/1rowcsY3T969uOqairi-LYIWHTxaEk7h1,CKR Boutique,2271,XL
CKR-PLS-016,Blusón Baby Blue,Blusón Baby Blue. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,130000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Baby%20Blue%20%24130.000,https://lh3.googleusercontent.com/d/1k-Yqa35RMzvN9SMBL0eAHthGUMmvbYV4,CKR Boutique,2271,XL
CKR-PLS-017,Enterizo Verde en Lino Europeo,Enterizo Verde en Lino Europeo. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Enterizo%20Verde%20Lino%20Europeo%20%24380.000,https://lh3.googleusercontent.com/d/1W1BqZq3yBAW8-W5AilyAzqAWUZEtKCHJ,CKR Boutique,2271,Unica
CKR-PLS-018,Enterizo Gris en Lino Europeo,Enterizo Gris en Lino Europeo. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Enterizo%20Gris%20Lino%20Europeo%20%24380.000,https://lh3.googleusercontent.com/d/11osyvUvkjx27kt4ZQu7vlM27QpJtr5py,CKR Boutique,2271,Unica
CKR-PLS-019,Set de Pantalón y Blusón Palo de Rosa en Lino Europeo,Set de Pantalón y Blusón Palo de Rosa en Lino Europeo. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,480000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Set%20Pantalón%20Blusón%20Palo%20Rosa%20Lino%20%24480.000,https://lh3.googleusercontent.com/d/1zthpgFtpUOgb9F0CMKqI_da1jb_QsJpe,CKR Boutique,2271,Unica
CKR-PLS-020,Pantalón en Seda Verde Estampado,Pantalón en Seda Verde Estampado. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalón%20Seda%20Verde%20Estampado%20%24180.000,https://lh3.googleusercontent.com/d/1H68rAe6AAYmjtz1RpxKvcZJmI-H5mQjJ,CKR Boutique,2271,2XL
CKR-PLS-021,Blusón en Seda Verde Animal Print,Blusón en Seda Verde Animal Print. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Blusón%20Seda%20Verde%20Animal%20Print%20%24180.000,https://lh3.googleusercontent.com/d/12gp2i884cauQt8pZYNJo_r3UzJeOVkpe,CKR Boutique,2271,XL
CKR-PLS-022,Falda Larga Blanca en Ojalillo,Falda Larga Blanca en Ojalillo. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Falda%20Larga%20Blanca%20Ojalillo%20%24220.000,https://lh3.googleusercontent.com/d/1pDW__sGIYZFwHUFJf6GkK64DnsMsyVGn,CKR Boutique,2271,Unica
CKR-PLS-023,Vestido Largo Plisado Animal Print,Vestido Largo Plisado Animal Print. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Largo%20Plisado%20Animal%20Print%20%24280.000,https://lh3.googleusercontent.com/d/1WoHrHNvHJ1pu1AB1bi0haOEhEewCY7ct,CKR Boutique,2271,Unica
CKR-PLS-024,Pantalón de Listas Azul,Pantalón de Listas Azul. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Pantalón%20de%20Listas%20Azul%20%24220.000,https://lh3.googleusercontent.com/d/1mzLPtw4FCUKzk1b-4L0q4oC2Zp_xyc05,CKR Boutique,2271,XL
CKR-PLS-025,Falda Blanca Larga con Encaje,Falda Blanca Larga con Encaje. Tallas Plus CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,220000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Falda%20Blanca%20Larga%20con%20Encaje%20%24220.000,https://lh3.googleusercontent.com/d/1Xvh4bEKCUddHjbkLfaa67fURiAA4bSRC,CKR Boutique,2271,Unica
CKR-FAL-001,Falda Naranja en Lino,Falda Naranja en Lino. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,180000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Falda%20Naranja%20en%20Lino%20%24180.000%20Talla%20S,https://lh3.googleusercontent.com/d/1oISFVcrDAdRYRqEwkci2sykh8cNZvd8l,CKR Boutique,2271,S
CKR-FAL-002,Falda Lápiz con Abertura Azul Rey,Falda Lápiz con Abertura Azul Rey. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,160000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20la%20Falda%20L%C3%A1piz%20con%20Abertura%20Azul%20Rey%20%24160.000%20Talla%20S,https://lh3.googleusercontent.com/d/1vVM67SYoYGjMfr1HrE1mEGRdGiQRJHQ3,CKR Boutique,2271,S
